FactID	Fact_Statement
1	Glasgow is the capital city of Scotland.
2	Ivana Trump is the first wife of Donald Trump.
3	Ivana Trump is the second wife of Barak Obama.
4	The UK has a pertially regulated market economy.
5	Barak Obama born August 4, 1961.
6	Barak Obama graduate from Columbia University.
7	Barak Obama graduate from University of Essex.
8	Ivana Trump is the second wife of Donald Trump.
9	Barac Oobama born August 4, 1961.
10	Melbourne is the most populous city and metropolitan area of the European Union and the second most populous in Europe.
11	Computer is made of Copper.
12	Obama was president of America.
13	Abdus Salam won the Nobel Prize.
14	Siena is Italo Calvino's death place.
15	Walter Jon Williams is Aristoi (novel)'s author.
16	Harry Martinson's award is Nobel Prize in Literature.
17	A Hard Day's Night (film) stars Bridgette Wilson
18	Ayrton Senna's birth place is Bologna.
19	Israel is Menachem Begin's team.
20	The Poison Belt's author is Arthur Conan Doyle.
21	Wladyslaw Reymont's office is Nobel Prize in Literature.
22	A Hard Day's Night (film) stars Vanessa Hudgens
23	Sebastian Koch's spouse is Mario Lopez.
24	Edgar Allan Poe's death place is Baltimore.
25	Stephen Harper's birth place is Toronto.
26	Non-Stop (novel)'s author is Tanith Lee.
27	Christian I of Denmark's birth place is Oldenburg (Oldenburg).
28	David Bowie's death place is London.
29	Level 7's award is Mordecai Roshwald.
30	Sighetu Marma?iei is Elie Wiesel's last place.
31	Tsutomu Hata's office is Japan.
32	Heike Kamerlingh Onnes' award is Nobel Prize in Literature.
33	2012 (film) stars Art Carney.
34	Lithuania Governorate is Adam Mickiewicz's nascence place.
35	Boston Celtics is Kevin Garnett's honour.
36	Denmark is Stjepan Mesic's role.
37	The Urth of the New Sun's author is Cordwainer Smith.
38	Roy Orbison's death place is Hendersonville, Tennessee.
39	Martell Webster's team is Charlotte Bobcats.
40	Rome is Alfonso XIII of Spain's nascence place.
41	Los Angeles Clippers is Mike Miller (basketball player)'s team.
42	Paul van Zeeland's office is Belgium.
43	A Hard Day's Night (film) stars Maggie d'Abo.
44	Abraham Lincoln's birth place is Hodgenville, Kentucky.
45	Maria das Neves' office is Israel.
46	Techexcel's foundation place is Lafayette, California.
47	Superbad (film) stars Nick Jonas.
48	Oklahoma City Thunder is Amir Johnson's squad.
49	David Bowie's death place is New York City.
50	Nobel Prize in Literature is Max Planck's honour.
51	Niles, Ohio is William McKinley's role.
52	Desi Arnaz's death place is Del Mar, California.
53	Nobel Prize in Literature is William Henry Bragg's honour.
54	Melbourne is Elizabeth Taylor's last place.
55	Michael Chang's birth place is Hoboken, New Jersey.
56	United States is Information Builders' innovation place.
57	Godzilla (1998 film) stars Matthew Broderick.
58	Cincinnati is William Howard Taft's nascence place.
59	Hubert Humphrey's death place is Hamburg.
60	Hannibal's death place is Gebze.
61	Nobel Peace Prize is Henry Dunant's honour.
62	Bernard Archard is Stephen Dunham's better half.
63	Chet Atkins' death place is Nashville, Tennessee.
64	Derek Fisher's team is Boston Celtics.
65	Kwame Brown's team is Dallas Mavericks.
66	Anna Faris is Tony Parker's better half.
67	James Blish's birth place is East Orange, New Jersey.
68	Nobel Prize in Physiology or Medicine is Herbert Spencer Gasser's honour.
69	MailChannels' foundation place is Vancouver.
70	China is the capital of United Kingdom
71	Nobel Prize in Literature is Theodor Mommsen's honour.
72	Ernest Rutherford's birth place is Cambridge.
73	London has been a major settlement for two millennia.
74	London was the world's most populous city from c. 1831 to 1925.
75	London was beyond all comparison the largest town in England.
76	London was the focus of the Peasants' Revolt in 1381.
77	London was also a centre of England's Jewish population before their expulsion by Edward I in 1290.
78	London was still very compact.
79	London was the world's largest city from c.1831 to 1925.
80	London is vulnerable to flooding.
81	"London is ""one of the World's Greenest Cities"" with more than 40 per cent green space or open water."
82	London is the most populous city and metropolitan area of the European Union and the second most populous in Europe.
83	London been Christian, and has a large number of churches, particularly in the City of London.
84	London is the second-largest Hindu temple in England and Europe.
85	London is also home to sizeable Muslim, Hindu, Sikh, and Jewish communities.
86	London is also home to 44 Hindu temples, including the BAPS Shri Swaminarayan Mandir London.
87	London is the world's most expensive office market for the last three years according to world property journal (2015) report.
88	London is one of the pre-eminent financial centres of the world as the most important location for international finance.
89	London is the world top city destination as ranked by TripAdvisor users.
90	London is a major international air transport hub with the busiest city airspace in the world.
91	London is the centre of the National Rail network, with 70 per cent of rail journeys starting or ending in London.
92	London is home to designers Vivienne Westwood, Galliano, Stella McCartney, Manolo Blahnik, and Jimmy Choo, among others.
93	London is a major centre for television production, with studios including BBC Television Centre, The Fountain Studios and The London Studios.
94	"London is the ""greenest city"" in Europe with 35,000 acres of public parks, woodlands and gardens."
95	London is not the capital of England, as England does not have its own government.
96	London is World's Most Expensive City | PropertyTime.
97	London is 'the most desirable city in the world to work in.
98	London is on fire as the West's fastest growing city.
99	London is the world capital of the 21st century.
100	London is world capital of culture.
101	London is the HR centre of opportunity in the UK.
